2025-05-26 20:33:36.909 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000099
2025-05-26 20:33:36.924 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000099.csv
2025-05-26 20:33:36.925 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 54/5415 只股票: 000100
2025-05-26 20:33:36.925 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000100
2025-05-26 20:33:37.100 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000100
2025-05-26 20:33:37.109 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000100.csv
2025-05-26 20:33:37.110 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 55/5415 只股票: 000151
2025-05-26 20:33:37.110 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000151
2025-05-26 20:33:37.412 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000151
2025-05-26 20:33:37.422 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000151.csv
2025-05-26 20:33:37.422 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 56/5415 只股票: 000153
2025-05-26 20:33:37.423 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000153
2025-05-26 20:33:37.668 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000153
2025-05-26 20:33:37.677 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000153.csv
2025-05-26 20:33:37.677 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 57/5415 只股票: 000155
2025-05-26 20:33:37.678 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000155
2025-05-26 20:33:37.863 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000155
2025-05-26 20:33:37.872 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000155.csv
2025-05-26 20:33:37.873 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 58/5415 只股票: 000156
2025-05-26 20:33:37.873 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000156
