代码,名称,上市日期,行业,板块,交易所,上市年份
002229,鸿博股份,2008-05-08,C 制造业,主板,SZSE,2008.0
002230,科大讯飞,2008-05-12,I 信息技术,主板,SZSE,2008.0
002231,*ST奥维,2008-05-12,C 制造业,主板,SZSE,2008.0
002232,启明信息,2008-05-09,I 信息技术,主板,SZSE,2008.0
002233,塔牌集团,2008-05-16,C 制造业,主板,SZSE,2008.0
002234,民和股份,2008-05-16,A 农林牧渔,主板,SZSE,2008.0
002235,安妮股份,2008-05-16,C 制造业,主板,SZSE,2008.0
002236,大华股份,2008-05-20,C 制造业,主板,SZSE,2008.0
002237,恒邦股份,2008-05-20,C 制造业,主板,SZSE,2008.0
002238,天威视讯,2008-05-26,I 信息技术,主板,SZSE,2008.0
002239,奥特佳,2008-05-22,C 制造业,主板,SZSE,2008.0
002240,盛新锂能,2008-05-23,C 制造业,主板,SZSE,2008.0
002241,歌尔股份,2008-05-22,C 制造业,主板,SZSE,2008.0
002242,九阳股份,2008-05-28,C 制造业,主板,SZSE,2008.0
002243,力合科创,2008-05-28,C 制造业,主板,SZSE,2008.0
002244,滨江集团,2008-05-29,K 房地产,主板,SZSE,2008.0
002245,蔚蓝锂芯,2008-06-05,C 制造业,主板,SZSE,2008.0
002246,北化股份,2008-06-05,C 制造业,主板,SZSE,2008.0
002247,聚力文化,2008-06-12,C 制造业,主板,SZSE,2008.0
002248,华东数控,2008-06-12,C 制造业,主板,SZSE,2008.0
002249,大洋电机,2008-06-19,C 制造业,主板,SZSE,2008.0
002250,联化科技,2008-06-19,C 制造业,主板,SZSE,2008.0
002251,步步高,2008-06-19,F 批发零售,主板,SZSE,2008.0
002252,上海莱士,2008-06-23,C 制造业,主板,SZSE,2008.0
002253,*ST智胜,2008-06-23,I 信息技术,主板,SZSE,2008.0
002254,泰和新材,2008-06-25,C 制造业,主板,SZSE,2008.0
002255,海陆重工,2008-06-25,C 制造业,主板,SZSE,2008.0
002256,兆新股份,2008-06-25,D 水电煤气,主板,SZSE,2008.0
002258,利尔化学,2008-07-08,C 制造业,主板,SZSE,2008.0
002259,升达林业,2008-07-16,D 水电煤气,主板,SZSE,2008.0
002261,拓维信息,2008-07-23,I 信息技术,主板,SZSE,2008.0
002262,恩华药业,2008-07-23,C 制造业,主板,SZSE,2008.0
002263,大东南,2008-07-28,C 制造业,主板,SZSE,2008.0
002264,新 华 都,2008-07-31,I 信息技术,主板,SZSE,2008.0
002265,建设工业,2008-08-06,C 制造业,主板,SZSE,2008.0
002266,浙富控股,2008-08-06,N 公共环保,主板,SZSE,2008.0
002267,陕天然气,2008-08-13,D 水电煤气,主板,SZSE,2008.0
002268,电科网安,2008-08-11,I 信息技术,主板,SZSE,2008.0
002269,美邦服饰,2008-08-28,C 制造业,主板,SZSE,2008.0
002270,华明装备,2008-09-05,C 制造业,主板,SZSE,2008.0
002271,东方雨虹,2008-09-10,C 制造业,主板,SZSE,2008.0
002272,川润股份,2008-09-19,C 制造业,主板,SZSE,2008.0
002273,水晶光电,2008-09-19,C 制造业,主板,SZSE,2008.0
002274,华昌化工,2008-09-25,C 制造业,主板,SZSE,2008.0
002275,桂林三金,2009-07-10,C 制造业,主板,SZSE,2009.0
002276,万马股份,2009-07-10,C 制造业,主板,SZSE,2009.0
002277,友阿股份,2009-07-17,F 批发零售,主板,SZSE,2009.0
002278,神开股份,2009-08-11,C 制造业,主板,SZSE,2009.0
002279,久其软件,2009-08-11,I 信息技术,主板,SZSE,2009.0
002281,光迅科技,2009-08-21,C 制造业,主板,SZSE,2009.0
002282,博深股份,2009-08-21,C 制造业,主板,SZSE,2009.0
002283,天润工业,2009-08-21,C 制造业,主板,SZSE,2009.0
002284,亚太股份,2009-08-28,C 制造业,主板,SZSE,2009.0
002285,世联行,2009-08-28,K 房地产,主板,SZSE,2009.0
002286,保龄宝,2009-08-28,C 制造业,主板,SZSE,2009.0
002287,奇正藏药,2009-08-28,C 制造业,主板,SZSE,2009.0
002289,*ST宇顺,2009-09-03,C 制造业,主板,SZSE,2009.0
002290,禾盛新材,2009-09-03,C 制造业,主板,SZSE,2009.0
002291,遥望科技,2009-09-03,I 信息技术,主板,SZSE,2009.0
002292,奥飞娱乐,2009-09-10,C 制造业,主板,SZSE,2009.0
002293,罗莱生活,2009-09-10,C 制造业,主板,SZSE,2009.0
002294,信立泰,2009-09-10,C 制造业,主板,SZSE,2009.0
002295,精艺股份,2009-09-29,C 制造业,主板,SZSE,2009.0
002296,辉煌科技,2009-09-29,C 制造业,主板,SZSE,2009.0
002297,博云新材,2009-09-29,C 制造业,主板,SZSE,2009.0
002298,中电鑫龙,2009-09-29,C 制造业,主板,SZSE,2009.0
002299,圣农发展,2009-10-21,C 制造业,主板,SZSE,2009.0
002300,太阳电缆,2009-10-21,C 制造业,主板,SZSE,2009.0
002301,齐心集团,2009-10-21,C 制造业,主板,SZSE,2009.0
002302,西部建设,2009-11-03,C 制造业,主板,SZSE,2009.0
002303,美盈森,2009-11-03,C 制造业,主板,SZSE,2009.0
002304,洋河股份,2009-11-06,C 制造业,主板,SZSE,2009.0
002305,*ST南置,2009-11-06,K 房地产,主板,SZSE,2009.0
002306,*ST云网,2009-11-11,H 住宿餐饮,主板,SZSE,2009.0
002307,北新路桥,2009-11-11,E 建筑业,主板,SZSE,2009.0
002309,*ST中利,2009-11-27,C 制造业,主板,SZSE,2009.0
002310,*ST东园,2009-11-27,N 公共环保,主板,SZSE,2009.0
002311,海大集团,2009-11-27,C 制造业,主板,SZSE,2009.0
002312,川发龙蟒,2009-12-03,C 制造业,主板,SZSE,2009.0
002313,日海智能,2009-12-03,C 制造业,主板,SZSE,2009.0
002314,南山控股,2009-12-03,K 房地产,主板,SZSE,2009.0
002315,焦点科技,2009-12-09,I 信息技术,主板,SZSE,2009.0
002316,ST亚联,2009-12-09,I 信息技术,主板,SZSE,2009.0
002317,众生药业,2009-12-11,C 制造业,主板,SZSE,2009.0
002318,久立特材,2009-12-11,C 制造业,主板,SZSE,2009.0
002319,乐通股份,2009-12-11,C 制造业,主板,SZSE,2009.0
002320,海峡股份,2009-12-16,G 运输仓储,主板,SZSE,2009.0
002321,华英农业,2009-12-16,A 农林牧渔,主板,SZSE,2009.0
002322,理工能科,2009-12-18,I 信息技术,主板,SZSE,2009.0
002323,雅博股份,2009-12-18,E 建筑业,主板,SZSE,2009.0
002324,普利特,2009-12-18,C 制造业,主板,SZSE,2009.0
002326,永太科技,2009-12-22,C 制造业,主板,SZSE,2009.0
002327,富安娜,2009-12-30,C 制造业,主板,SZSE,2009.0
002328,新朋股份,2009-12-30,C 制造业,主板,SZSE,2009.0
002329,皇氏集团,2010-01-06,C 制造业,主板,SZSE,2010.0
002330,得利斯,2010-01-06,C 制造业,主板,SZSE,2010.0
002331,皖通科技,2010-01-06,I 信息技术,主板,SZSE,2010.0
002332,仙琚制药,2010-01-12,C 制造业,主板,SZSE,2010.0
002333,罗普斯金,2010-01-12,C 制造业,主板,SZSE,2010.0
002334,英威腾,2010-01-13,C 制造业,主板,SZSE,2010.0
002335,科华数据,2010-01-13,C 制造业,主板,SZSE,2010.0
002336,*ST人乐,2010-01-13,F 批发零售,主板,SZSE,2010.0
002337,赛象科技,2010-01-15,C 制造业,主板,SZSE,2010.0
002338,奥普光电,2010-01-15,C 制造业,主板,SZSE,2010.0
002339,积成电子,2010-01-22,C 制造业,主板,SZSE,2010.0
002340,格林美,2010-01-22,C 制造业,主板,SZSE,2010.0
002342,巨力索具,2010-01-26,C 制造业,主板,SZSE,2010.0
002343,慈文传媒,2010-01-26,R 文化传播,主板,SZSE,2010.0
002344,海宁皮城,2010-01-26,L 商务服务,主板,SZSE,2010.0
002345,潮宏基,2010-01-28,C 制造业,主板,SZSE,2010.0
002346,柘中股份,2010-01-28,C 制造业,主板,SZSE,2010.0
002347,泰尔股份,2010-01-28,C 制造业,主板,SZSE,2010.0
002348,高乐股份,2010-02-03,C 制造业,主板,SZSE,2010.0
002349,精华制药,2010-02-03,C 制造业,主板,SZSE,2010.0
002350,北京科锐,2010-02-03,C 制造业,主板,SZSE,2010.0
002351,漫步者,2010-02-05,C 制造业,主板,SZSE,2010.0
002352,顺丰控股,2010-02-05,G 运输仓储,主板,SZSE,2010.0
002353,杰瑞股份,2010-02-05,C 制造业,主板,SZSE,2010.0
002354,天娱数科,2010-02-09,I 信息技术,主板,SZSE,2010.0
